abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,H2O.ai Team,,,,,http://www.h2o.ai,,,h2o_Java_software,,,,,,,,,manual,,,,,,,,,,,,,,,version 3.1.0.99999,,,,,,,,,,,,,\textbf{H2O: Scalable Machine Learning},,http://www.h2o.ai,,,\the\year
,,,,,,H2O.ai Team,,,,,https://groups.google.com/d/forum/h2ostream,,,stream,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{H2Ostream},,https://groups.google.com/d/forum/h2ostream,,,\the\year
,,,,,,,,,,,,In NIPS,,hogwild,,,,,,,,,inproceedings,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Hogwild: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent},,,,,2011
,,,,,,"Alex Krizhevsky and Sutskever, Ilya and Hinton, Geoffrey E",,,,,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,Advances in Neural Information Processing Systems 25,,alexnet,,,,,,,,F. Pereira and C. J. C. Burges and L. Bottou and K. Q. Weinberger,incollection,,,,,,,,,,,,,,,,,,,1097--1105,,,,,,,,,\textbf{ImageNet Classification with Deep Convolutional Neural Networks},,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,,,2012
,,,,,,G. E. Hinton and N. Srivastava and A. Krizhevsky and I. Sutskever and R. R. Salakhutdinov,,,,,http://arxiv.org/pdf/1207.0580.pdf,,,featuredetectors,,,,,,,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Improving neural networks by preventing co-adaptation of feature detectors},,http://arxiv.org/pdf/1207.0580.pdf,,,2012
,,,,,,Yoshua Bengio,,,,,http://www.iro.umontreal.ca/~bengioy/papers/ftml.pdf,,,dlarchitecture,,,,,,,,,misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Learning Deep Architectures for AI},,http://www.iro.umontreal.ca/~bengioy/papers/ftml.pdf,,,2009
,,New York,,,,Yaser S. Abu-Mostafa and Malik Magdon-Ismail and Hsuan-Tien Lin,,,,,,\textit{Learning from Data},,lfd,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,AMLBook,,,,,\textbf{Learning from Data},,https://work.caltech.edu/textbook.html,,,2012
,,New York,,,,Yaser S. Abu-Mostafa and Malik Magdon-Ismail and Hsuan-Tien Lin,,,,,,\textit{Learning from Data},,lfd,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,AMLBook,,,,,\textbf{Learning from Data},,https://work.caltech.edu/textbook.html,,,2012
,,,,,,Thomas Dietterich and Eun Bae Kong,,,,,http://www.iiia.csic.es/~vtorra/tr-bias.pdf,,,bias,,,,,,,,,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\textbf{Machine Learning Bias, Statistical Bias, and Statistical Variance of Decision Tree Algorithms}",,http://www.iiia.csic.es/~vtorra/tr-bias.pdf,,,1995
,,,,,,Ian J. Goodfellow and David Warde-farley and Mehdi Mirza and Aaron Courville and Yoshua Bengio,,,,,http://arxiv.org/pdf/1302.4389.pdf,\textit{In ICML},,maxoutnetworks,,,,,,,,,inproceedings,,,,,,,,,,,,,,,,,,,,,,,,,,,,\textbf{Maxout networks},,http://arxiv.org/pdf/1302.4389.pdf,,,2013
