entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,url,volume,year
inproceedings,zhang2018mitigating,,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,,,,URL: \url{https://arxiv.org/pdf/1801.07593.pdf},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,,2018
inproceedings,lfr,,"Zemel, Rich and Wu, Yu and Swersky, Kevin and Pitassi, Toni and Dwork, Cynthia",International Conference on Machine Learning,,,,,URL: \url{http://proceedings.mlr.press/v28/zemel13.pdf},,,325--333,,Learning {F}air {R}epresentations,,,2013
inproceedings,grad_attr,,"Ancona, Marco and Ceolini, Enea and Oztireli, Cengiz and Gross, Markus",6th International Conference on Learning Representations (ICLR 2018),,,,,URL: \url{https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/249929/Flow_ICLR_2018.pdf},,,,,Towards {B}etter {U}nderstanding of {G}radient-based {A}ttribution {M}ethods for {D}eep {N}eural {N}etworks,,,2018
inproceedings,anchors,,"Ribeiro, Marco Tulio and Singh, Sameer and Guestrin, Carlos",{A}AAI {C}onference on {A}rtificial {I}ntelligence,,,,,URL: \url{https://homes.cs.washington.edu/~marcotcr/aaai18.pdf},,,,,Anchors: High-{P}recision {M}odel-agnostic {E}xplanations,,,2018
inproceedings,kamiran2012decision,,"Kamiran, Faisal and Karim, Asim and Zhang, Xiangliang",2012 IEEE 12th International Conference on Data Mining,,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.3030&rep=rep1&type=pdf},,IEEE,924--929,,Decision {T}heory for {D}iscrimination-aware {C}lassification,,,2012
article,shapley1953value,,"Shapley, Lloyd S.",,,,Contributions to the Theory of Games,,URL: \url{http://www.library.fa.ru/files/Roth2.pdf\#page=39},28,,307--317,,A {V}alue for {N}-{P}erson {G}ames,,2,1953
article,rulefit,,"Friedman, Jerome H. and Popescu, Bogdan E and others",,,,The Annals of Applied Statistics,,URL: \url{https://projecteuclid.org/download/pdfview_1/euclid.aoas/1223908046},3,,916--954,Institute of Mathematical Statistics,Predictive {L}earning via {R}ule {E}nsembles,,2,2008
inproceedings,gender_shades,,"Buolamwini, Joy and Gebru, Timnit","Conference on fairness, accountability and transparency",,,,,URL: \url{http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf},,,77--91,,Gender {S}hades: {I}ntersectional {A}ccuracy {D}isparities in {C}ommercial {G}ender {C}lassification,,,2018
inproceedings,raji2019actionable,,"Raji, Inioluwa Deborah and Buolamwini, Joy",AAAI/ACM Conf. on AI Ethics and Society,,,,,URL: \url{http://www.aies-conference.com/wp-content/uploads/2019/01/AIES-19_paper_223.pdf},,,,,Actionable {A}uditing: {I}nvestigating the {I}mpact of {P}ublicly {N}aming {B}iased {P}erformance {R}esults of {C}ommercial {A}{I} {P}roducts,,1,2019
misc,h2o_mli_booklet,,Patrick Hall and Navdeep Gill and Megan Kurka and Wen Phan,,,H2O.ai,,,,,,,,Machine Learning Interpretability with H2O Driverless AI,http://docs.h2o.ai/driverless-ai/latest-stable/docs/booklets/MLIBooklet.pdf,,2017
inproceedings,mothilal2020explaining,,"Mothilal, Ramaravind K and Sharma, Amit and Tan, Chenhao","Proceedings of the 2020 conference on fairness, accountability, and transparency",,,,,URL: \url{https://dl.acm.org/doi/pdf/10.1145/3351095.3372850},,,607--617,,Explaining {M}achine {L}earning {C}lassifiers {T}hrough {D}iverse {C}ounterfactual {E}xplanations,,,2020
