entry_type,citation_key,address,author,booktitle,editor,howpublished,journal,note,number,organization,pages,publisher,title,volume,year
inproceedings,lfr,,"Zemel, Rich and Wu, Yu and Swersky, Kevin and Pitassi, Toni and Dwork, Cynthia",International Conference on Machine Learning,,,,URL: \url{http://proceedings.mlr.press/v28/zemel13.pdf},,,325--333,,Learning {F}air {R}epresentations,,2013
inproceedings,kamiran2012decision,,"Kamiran, Faisal and Karim, Asim and Zhang, Xiangliang",2012 IEEE 12th International Conference on Data Mining,,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.3030&rep=rep1&type=pdf},,IEEE,924--929,,Decision {T}heory for {D}iscrimination-aware {C}lassification,,2012
article,rauber2017foolbox,,"Rauber, Jonas and Brendel, Wieland and Bethge, Matthias",,,,arXiv preprint arXiv:1707.04131,URL: \url{https://arxiv.org/pdf/1707.04131.pdf},,,,,{F}oolbox: {A} {P}ython {T}oolbox to {B}enchmark the {R}obustness of {M}achine {L}earning {M}odels,,2017
article,papernot2018cleverhans,,"Nicolas Papernot and Fartash Faghri and Nicholas Carlini and
Ian Goodfellow and Reuben Feinman and Alexey Kurakin and Cihang Xie and
Yash Sharma and Tom Brown and Aurko Roy and Alexander Matyasko and
Vahid Behzadan and Karen Hambardzumyan and Zhishuai Zhang and
Yi-Lin Juang and Zhi Li and Ryan Sheatsley and Abhibhav Garg and
Jonathan Uesato and Willi Gierke and Yinpeng Dong and David Berthelot and
Paul Hendricks and Jonas Rauber and Rujun Long",,,,arXiv preprint arXiv:1610.00768,URL: \url{https://arxiv.org/pdf/1610.00768.pdf},,,,,{T}echnical {R}eport on the {C}leverHans v2.1.0 {A}dversarial {E}xamples {L}ibrary,,2018
inproceedings,modeltracker,,"Amershi, Saleema and Chickering, Max and Drucker, Steven M. and Lee, Bongshin and Simard, Patrice and Suh, Jina",Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,,,URL: \url{https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/amershi.CHI2015.ModelTracker.pdf},,ACM,337--346,,Modeltracker: {R}edesigning {P}erformance {A}nalysis {T}ools for {M}achine {L}earning,,2015
inproceedings,papernot2018marauder,,"Papernot, Nicolas",Proceedings of the 11th ACM Workshop on Artificial Intelligence and Security,,,,URL: \url{https://arxiv.org/pdf/1811.01134.pdf},,ACM,,,A {M}arauder's {M}ap of {S}ecurity and {P}rivacy in {M}achine {L}earning: {A}n overview of current and future research directions for making machine learning secure and private,,2018
inproceedings,model_cards,,"Mitchell, Margaret and Wu, Simone and Zaldivar, Andrew and Barnes, Parker and Vasserman, Lucy and Hutchinson, Ben and Spitzer, Elena and Raji, Inioluwa Deborah and Gebru, Timnit","Proceedings of the Conference on Fairness, Accountability, and Transparency",,,,URL: \url{https://arxiv.org/pdf/1810.03993.pdf},,ACM,220--229,,Model {C}ards for {M}odel {R}eporting,,2019
article,bracke2019machine,,"Bracke, Philippe and Datta, Anupam and Jung, Carsten and Sen, Shayak",,,,,URL: \url{https://www.bankofengland.co.uk/-/media/boe/files/working-paper/2019/machine-learning-explainability-in-finance-an-application-to-default-risk-analysis.pdf},,,,Bank of England Working Paper,Machine {L}earning {E}xplainability in {F}inance: {A}n {A}pplication to {D}efault {R}isk {A}nalysis,,2019
inproceedings,friedler2019comparative,,"Friedler, Sorelle A. and Scheidegger, Carlos and Venkatasubramanian, Suresh and Choudhary, Sonam and Hamilton, Evan P. and Roth, Derek","Proceedings of the Conference on Fairness, Accountability, and Transparency",,,,URL: \url{https://arxiv.org/pdf/1802.04422.pdf},,ACM,329--338,,A {C}omparative {S}tudy of {F}airness-enhancing {I}nterventions in {M}achine {L}earning,,2019
article,schmidt2019introduction,,"Schmidt, Nicholas and Stephens, Bryce",,,,Conference on Consumer Finance Law Quarterly Report,URL: \url{https://arxiv.org/pdf/1911.05755.pdf},2,,130--144,,An {I}ntroduction to {A}rtificial {I}ntelligence and {S}olutions to the {P}roblems of {A}lgorithmic {D}iscrimination,73,2019
article,hoare19811980,,"Hoare, Charles Antony Richard",,,,Communications,URL: \url{http://www.cs.fsu.edu/~engelen/courses/COP4610/hoare.pdf},,,,,The 1980 {A}{C}{M} {T}uring {A}ward {L}ecture,,1981
